run	read	path
J382e	R2	rawdata/WAR4048A1_184/J382e_S184_L001_R2_001.fastq.gz
J382e	R1	rawdata/WAR4048A1_184/J382e_S184_L001_R1_001.fastq.gz
J382e	R2	rawdata/WAR4048A1_184/J382e_S184_L002_R2_001.fastq.gz
J333a	R2	rawdata/WAR4048A1_136/J333a_S136_L001_R2_001.fastq.gz
J333a	R1	rawdata/WAR4048A1_136/J333a_S136_L001_R1_001.fastq.gz
J333a	R2	rawdata/WAR4048A1_136/J333a_S136_L002_R2_001.fastq.gz
J333a	R1	rawdata/WAR4048A1_136/J333a_S136_L002_R1_001.fastq.gz
J342	R1	rawdata/WAR4048A1_206/J342_S206_L001_R1_001.fastq.gz
J342	R2	rawdata/WAR4048A1_206/J342_S206_L002_R2_001.fastq.gz
J342	R2	rawdata/WAR4048A1_206/J342_S206_L001_R2_001.fastq.gz
J342	R1	rawdata/WAR4048A1_206/J342_S206_L002_R1_001.fastq.gz
J367i	R2	rawdata/WAR4048A1_289/J367i_S289_L001_R2_001.fastq.gz
J367i	R2	rawdata/WAR4048A1_289/J367i_S289_L002_R2_001.fastq.gz
J367i	R1	rawdata/WAR4048A1_289/J367i_S289_L002_R1_001.fastq.gz
J367i	R1	rawdata/WAR4048A1_289/J367i_S289_L001_R1_001.fastq.gz
J377b	R1	rawdata/WAR4048A1_313/J377b_S313_L001_R1_001.fastq.gz
J377b	R1	rawdata/WAR4048A1_313/J377b_S313_L002_R1_001.fastq.gz
J377b	R2	rawdata/WAR4048A1_313/J377b_S313_L001_R2_001.fastq.gz
J377b	R2	rawdata/WAR4048A1_313/J377b_S313_L002_R2_001.fastq.gz
J352g	R2	rawdata/WAR4048A1_217/J352g_S217_L002_R2_001.fastq.gz
J352g	R2	rawdata/WAR4048A1_217/J352g_S217_L001_R2_001.fastq.gz
J352g	R1	rawdata/WAR4048A1_217/J352g_S217_L002_R1_001.fastq.gz
J352g	R1	rawdata/WAR4048A1_217/J352g_S217_L001_R1_001.fastq.gz
J350e	R1	rawdata/WAR4048A1_216/J350e_S216_L001_R1_001.fastq.gz
J350e	R2	rawdata/WAR4048A1_216/J350e_S216_L001_R2_001.fastq.gz
J350e	R2	rawdata/WAR4048A1_216/J350e_S216_L002_R2_001.fastq.gz
J350e	R1	rawdata/WAR4048A1_216/J350e_S216_L002_R1_001.fastq.gz
J418	R2	rawdata/WAR4048A1_137/J418_S137_L002_R2_001.fastq.gz
J418	R1	rawdata/WAR4048A1_137/J418_S137_L002_R1_001.fastq.gz
J418	R1	rawdata/WAR4048A1_137/J418_S137_L001_R1_001.fastq.gz
J418	R2	rawdata/WAR4048A1_137/J418_S137_L001_R2_001.fastq.gz
J376c	R1	rawdata/WAR4048A1_307/J376c_S307_L001_R1_001.fastq.gz
J376c	R2	rawdata/WAR4048A1_307/J376c_S307_L001_R2_001.fastq.gz
J376c	R1	rawdata/WAR4048A1_307/J376c_S307_L002_R1_001.fastq.gz
J376c	R2	rawdata/WAR4048A1_307/J376c_S307_L002_R2_001.fastq.gz
J422e-rep	R1	rawdata/WAR4048A1_391/J422e-rep_S391_L002_R1_001.fastq.gz
J422e-rep	R1	rawdata/WAR4048A1_391/J422e-rep_S391_L001_R1_001.fastq.gz
J422e-rep	R2	rawdata/WAR4048A1_391/J422e-rep_S391_L002_R2_001.fastq.gz
J422e-rep	R2	rawdata/WAR4048A1_391/J422e-rep_S391_L001_R2_001.fastq.gz
J413c	R2	rawdata/WAR4048A1_382/J413c_S382_L002_R2_001.fastq.gz
J413c	R1	rawdata/WAR4048A1_382/J413c_S382_L001_R1_001.fastq.gz
J413c	R2	rawdata/WAR4048A1_382/J413c_S382_L001_R2_001.fastq.gz
J413c	R1	rawdata/WAR4048A1_382/J413c_S382_L002_R1_001.fastq.gz
J428c	R1	rawdata/WAR4048A1_454/J428c_S454_L001_R1_001.fastq.gz
J428c	R2	rawdata/WAR4048A1_454/J428c_S454_L002_R2_001.fastq.gz
J428c	R1	rawdata/WAR4048A1_454/J428c_S454_L002_R1_001.fastq.gz
J428c	R2	rawdata/WAR4048A1_454/J428c_S454_L001_R2_001.fastq.gz
J374	R2	rawdata/WAR4048A1_314/J374_S314_L002_R2_001.fastq.gz
J374	R1	rawdata/WAR4048A1_314/J374_S314_L001_R1_001.fastq.gz
J374	R1	rawdata/WAR4048A1_314/J374_S314_L002_R1_001.fastq.gz
J374	R2	rawdata/WAR4048A1_314/J374_S314_L001_R2_001.fastq.gz
J367d	R2	rawdata/WAR4048A1_260/J367d_S260_L002_R2_001.fastq.gz
J367d	R2	rawdata/WAR4048A1_260/J367d_S260_L001_R2_001.fastq.gz
J367d	R1	rawdata/WAR4048A1_260/J367d_S260_L001_R1_001.fastq.gz
J367d	R1	rawdata/WAR4048A1_260/J367d_S260_L002_R1_001.fastq.gz
blank_31	R1	rawdata/WAR4048A1_145/blank_31_S145_L001_R1_001.fastq.gz
blank_31	R1	rawdata/WAR4048A1_145/blank_31_S145_L002_R1_001.fastq.gz
blank_31	R2	rawdata/WAR4048A1_145/blank_31_S145_L002_R2_001.fastq.gz
blank_31	R2	rawdata/WAR4048A1_145/blank_31_S145_L001_R2_001.fastq.gz
J405g	R1	rawdata/WAR4048A1_345/J405g_S345_L001_R1_001.fastq.gz
J405g	R1	rawdata/WAR4048A1_345/J405g_S345_L002_R1_001.fastq.gz
J405g	R2	rawdata/WAR4048A1_345/J405g_S345_L001_R2_001.fastq.gz
J405g	R2	rawdata/WAR4048A1_345/J405g_S345_L002_R2_001.fastq.gz
J330	R1	rawdata/WAR4048A1_53/J330_S53_L001_R1_001.fastq.gz
