Collection,Tree,,,,,,hddd.dddd,,ddd mm ss,,,,,,,,,,,,,,,,,,,,,,
ID,Sub-IDs,Total # samples,Tag #,Species,Date,Notes,Latitude,Longitude,Latitude,Longitude,Datum,State,Location,Altitude (m),Geology,Soil,Aspect,Collector,Abundance,Buds,Flowers,Fruit,Photos,Associated species,Associated species,Associated species,Associated species,Associated species,Associated species,Associated species,Associated species
J367I,,,053,Hybrid? Sider x moluc,2015-12-15,,-30.52474,151.15401,"-30°31'29.0640""","151°09'14.4360""",WGS84,NSW,"Uralla-Kingstown Rd, Kingstown",787,Granite,sand-gravel,W,J.Janes,Rare,,Present,Present,J367I,Themeda sp,Eucalyptus moluccana,Davesia sp,Dianella sp,Callitris columellaris,,,
J368,A,2,054,Eucalyptus caleyi,2015-12-15,,-30.57301,151.09172,"-30°34'22.8360""","151°05'30.1920""",WGS84,NSW,"Kingstwon-Retreat Rd, Kingstown",827,Granite,sand-clay,W,J.Janes,Common (most on private land),,,Present,J368,Roadside,,,,,,,
J369,A-D,5,055,Eucalyptus caleyi,2015-12-15,,-30.07144,151.09796,"-30°04'17.1840""","151°05'52.6560""",WGS84,NSW,"Thunderbolts Way, Bundarra",815,Granite,sand-clay,W,J.Janes,Common,,,Present,J369,Roadside,,,,,,,
J369A,,,,Eucalyptus caleyi,2015-12-15,,-30.07144,151.09796,"-30°04'17.1840""","151°05'52.6560""",WGS84,NSW,"Thunderbolts Way, Bundarra",815,Granite,sand-clay,W,J.Janes,Common,,,Present,J369A,Roadside,,,,,,,
J370,A-D,5,056,Eucalyptus fibrosa,2016-01-20,,-32.62925,151.87758,"-32°37'45.3000""","151°52'39.2880""",WGS84,NSW,"Bucketts Way, Stroud Road",24,Granite,clay-loam,SW,J.Janes,Common,,,Present,J370,Roadside,,,,,,,
J371,A-D,5,057,Eucalyptus fibrosa,2016-01-20,,-32.23292,151.93147,"-32°13'58.5120""","151°55'53.2920""",WGS84,NSW,"Bucketts Way, Wards River",80,Granite,sand-loam,NW,J.Janes,Common,,,Present,J371,Roadside,,,,,,,
NAL05,,1,,Eucalyptus microcarpa,2013-10-16,Voucher with Rebecca Jordan,-32.37420,147.4871,"-32°22'27.1200""","147°29'13.5600""",,NSW,"Melrose-Trangie Rd, Albert Murrumbidgee NP",,,,,R.Jordan,,,,,J372,,,,,,,,
NBJ30,,1,,Eucalyptus microcarpa,2013-11-18,Voucher with Rebecca Jordan,-35.05268,147.0439,"-35°03'09.6480""","147°02'38.0400""",,NSW,Berry Jerry State Forest,,,,,R.Jordan,,,,,J373,,,,,,,,
NCD30,,1,,Eucalyptus microcarpa,2013-11-17,Voucher with Rebecca Jordan,-32.89835,147.05836,"-32°53'54.0600""","147°03'30.0960""",,NSW,Condobolin,,,,,R.Jordan,,,,,,,,,,,,,
NCR13,,1,,Eucalyptus microcarpa,2013-11-15,Voucher with Rebecca Jordan,-34.08362,148.51941,"-34°05'01.0320""","148°31'09.8760""",,NSW,Crowther,,,,,R.Jordan,,,,,J374,,,,,,,,
NCR37,,1,,Eucalyptus microcarpa,2013-11-15,Voucher with Rebecca Jordan,-34.08949,148.51412,"-34°05'22.1640""","148°30'50.8320""",,NSW,Crowther,,,,,R.Jordan,,,,,,,,,,,,,
