"sample.id","site.id","other.ids","total.num.samples","tag.num","species","species.notes","date","notes","latitude","longitude","datum","state","location","altitude","geology","soil","aspect","collector","abundance","buds","flowers","fruit","photos","associated.species"
"J326b","J326",,5,13,"moluccana","Eucalyptus moluccana","2015-11-03","Apparently missing from herbarium",-28.21744,152.84309,"WGS84","QLD","Rathdowney, Boonah Rathdowney Rd",103,"Mudstone","clay-loam",,"J.Janes","Common",,"Present","Present","J326","Acacia verniciflua;Roadside;;;;;;;"
"J326c","J326",,5,13,"moluccana","Eucalyptus moluccana","2015-11-03","Apparently missing from herbarium",-28.21744,152.84309,"WGS84","QLD","Rathdowney, Boonah Rathdowney Rd",103,"Mudstone","clay-loam",,"J.Janes","Common",,"Present","Present","J326","Acacia verniciflua;Roadside;;;;;;;"
"J326 - Recollecta","J326 - Recollect",,6,13,"moluccana","Eucalyptus moluccana","2016-12-09","Recollected but originals already in herbarium",-28.21744,152.84309,"WGS84","QLD","Rathdowney, Boonah Rathdowney Rd",103,"Mudstone","clay-loam",,"J.Janes, T.Collins","Common",,"Present","Present","J326","Acacia verniciflua;Roadside;;;;;;;"
"J326 - Recollectb","J326 - Recollect",,6,13,"moluccana","Eucalyptus moluccana","2016-12-09","Recollected but originals already in herbarium",-28.21744,152.84309,"WGS84","QLD","Rathdowney, Boonah Rathdowney Rd",103,"Mudstone","clay-loam",,"J.Janes, T.Collins","Common",,"Present","Present","J326","Acacia verniciflua;Roadside;;;;;;;"
"J326 - Recollectc","J326 - Recollect",,6,13,"moluccana","Eucalyptus moluccana","2016-12-09","Recollected but originals already in herbarium",-28.21744,152.84309,"WGS84","QLD","Rathdowney, Boonah Rathdowney Rd",103,"Mudstone","clay-loam",,"J.Janes, T.Collins","Common",,"Present","Present","J326","Acacia verniciflua;Roadside;;;;;;;"
"J326 - Recollectd","J326 - Recollect",,6,13,"moluccana","Eucalyptus moluccana","2016-12-09","Recollected but originals already in herbarium",-28.21744,152.84309,"WGS84","QLD","Rathdowney, Boonah Rathdowney Rd",103,"Mudstone","clay-loam",,"J.Janes, T.Collins","Common",,"Present","Present","J326","Acacia verniciflua;Roadside;;;;;;;"
"J327a","J327",,5,14,"crebra","Eucalyptus crebra","2015-11-03","Apparently missing from herbarium",-28.45172,152.3925,"WGS84","NSW","Koreelah, Tooloom Rd",533,"Granite","loam","N","J.Janes","Common","Present",,"Present","J327","Casuarina cunninghamiana;Dianella revoluta;Acacia burrowii;Eustraphus latifolius;;;;;"
"J327b","J327",,5,14,"crebra","Eucalyptus crebra","2015-11-03","Apparently missing from herbarium",-28.45172,152.3925,"WGS84","NSW","Koreelah, Tooloom Rd",533,"Granite","loam","N","J.Janes","Common","Present",,"Present","J327","Casuarina cunninghamiana;Dianella revoluta;Acacia burrowii;Eustraphus latifolius;;;;;"
"J327c","J327",,5,14,"crebra","Eucalyptus crebra","2015-11-03","Apparently missing from herbarium",-28.45172,152.3925,"WGS84","NSW","Koreelah, Tooloom Rd",533,"Granite","loam","N","J.Janes","Common","Present",,"Present","J327","Casuarina cunninghamiana;Dianella revoluta;Acacia burrowii;Eustraphus latifolius;;;;;"
"J328a","J328",,5,15,"moluccana","Eucalyptus moluccana","2015-11-03",,-28.43038,152.35915,"WGS84","NSW","Legume, Mt Lindsay Rd",480,"Granite","clay","SW","J.Janes","Common",,,"Present","J328","Roadside;;;;;;;;"
