filename	reads	bases	perc_gc	non_acgt
reads/plate1-6.0/J318_S18_L003_R1.fastq.gz	30315	2279217	39.9	24
reads/plate1-6.0/J318_S18_L003_R2.fastq.gz	30315	2279449	39.9	54
reads/plate1-6.0/J319_S42_L001_R2.fastq.gz	21956	1646350	40.0	72
reads/plate1-6.0/J319_S42_L002_R2.fastq.gz	23739	1781893	39.9	46
reads/plate1-6.0/J318_S18_L004_R1.fastq.gz	32557	2448557	40.0	25
reads/plate1-6.0/J319_S42_L002_R1.fastq.gz	23739	1781816	39.9	46
reads/plate1-6.0/J319_S42_L003_R2.fastq.gz	23556	1768523	40.0	63
reads/plate1-6.0/J319_S42_L003_R1.fastq.gz	23556	1768317	40.1	24
reads/plate1-6.0/J319_S42_L004_R1.fastq.gz	24757	1858561	39.9	42
reads/plate1-6.0/J319_S42_L004_R2.fastq.gz	24757	1859034	39.9	55
reads/plate1-6.0/J320_S82_L001_R1.fastq.gz	20964	1571006	39.9	62
reads/plate1-6.0/J321g_S8_L003_R1.fastq.gz	15474	1157642	40.0	83
reads/plate1-6.0/J311_S27_L002_R1.fastq.gz	29698	2230966	39.5	36
reads/plate1-6.0/J320_S82_L001_R2.fastq.gz	20964	1570218	39.8	91
reads/plate1-6.0/J320_S82_L002_R1.fastq.gz	23514	1763954	39.8	80
reads/plate1-6.0/J321g_S8_L003_R2.fastq.gz	15474	1157895	39.9	89
reads/plate1-6.0/J321g_S8_L001_R1.fastq.gz	14189	1062185	39.9	31
reads/plate1-6.0/J321g_S8_L002_R1.fastq.gz	17780	1332457	39.9	59
reads/plate1-6.0/J320_S82_L003_R1.fastq.gz	22826	1712669	39.8	28
reads/plate1-6.0/J320_S82_L004_R2.fastq.gz	24690	1854250	39.7	28
reads/plate1-6.0/J321g_S8_L001_R2.fastq.gz	14189	1062071	39.8	45
reads/plate1-6.0/J320_S82_L004_R1.fastq.gz	24690	1853641	39.7	36
reads/plate1-6.0/J321g_S8_L002_R2.fastq.gz	17780	1332715	39.8	48
reads/plate1-6.0/J320_S82_L002_R2.fastq.gz	23514	1764188	39.7	72
reads/plate1-6.0/J320_S82_L003_R2.fastq.gz	22826	1713124	39.8	56
reads/plate1-6.0/J321g_S8_L004_R1.fastq.gz	18680	1400286	39.9	30
reads/plate1-6.0/J321g_S8_L004_R2.fastq.gz	18680	1400717	39.8	49
reads/plate1-6.0/J322_S12_L002_R1.fastq.gz	22012	1652546	39.7	21
reads/plate1-6.0/J324_S66_L001_R1.fastq.gz	22568	1695741	39.7	30
reads/plate1-6.0/J322_S12_L001_R1.fastq.gz	21339	1601447	40.0	28
reads/plate1-6.0/J322_S12_L004_R2.fastq.gz	20942	1571303	39.4	38
reads/plate1-6.0/J322_S12_L002_R2.fastq.gz	22012	1652393	39.5	22
reads/plate1-6.0/J322_S12_L003_R2.fastq.gz	22278	1670748	39.7	86
reads/plate1-6.0/J322_S12_L001_R2.fastq.gz	21339	1601181	39.7	42
reads/plate1-6.0/J322_S12_L003_R1.fastq.gz	22278	1670932	39.8	38
reads/plate1-6.0/J324_S66_L001_R2.fastq.gz	22568	1695757	39.7	40
reads/plate1-6.0/J324_S66_L003_R2.fastq.gz	24635	1851247	39.7	54
reads/plate1-6.0/J324_S66_L004_R1.fastq.gz	27027	2032644	39.7	34
reads/plate1-6.0/J326_S68_L001_R2.fastq.gz	13858	1041486	38.8	3
reads/plate1-6.0/J322_S12_L004_R1.fastq.gz	20942	1571533	39.7	22
reads/plate1-6.0/J324_S66_L002_R1.fastq.gz	25213	1894893	39.6	26
reads/plate1-6.0/J324_S66_L004_R2.fastq.gz	27027	2033192	39.6	26
reads/plate1-6.0/J324_S66_L002_R2.fastq.gz	25213	1895044	39.5	26
reads/plate1-6.0/J326_S68_L001_R1.fastq.gz	13858	1042232	39.2	2
reads/plate1-6.0/J326_S68_L003_R1.fastq.gz	11929	896912	39.3	8
reads/plate1-6.0/J326_S68_L002_R1.fastq.gz	13983	1051926	39.2	3
reads/plate1-6.0/J326_S68_L004_R1.fastq.gz	9888	743721	39.2	6
reads/plate1-6.0/J326_S68_L003_R2.fastq.gz	11929	896807	38.9	6
reads/plate1-6.0/J326_S68_L002_R2.fastq.gz	13983	1051391	38.7	8
reads/plate1-6.0/J327_S36_L001_R1.fastq.gz	17864	1339939	40.1	47
reads/plate1-6.0/J324_S66_L003_R1.fastq.gz	24635	1851373	39.8	45
reads/plate1-6.0/J327_S36_L004_R1.fastq.gz	16443	1234498	40.0	13
reads/plate1-6.0/J327_S36_L003_R2.fastq.gz	18007	1349938	40.0	28
reads/plate1-6.0/J327_S36_L002_R2.fastq.gz	18037	1352722	39.6	30
reads/plate1-6.0/J327_S36_L002_R1.fastq.gz	18037	1353158	39.9	16
reads/plate1-6.0/J327_S36_L003_R1.fastq.gz	18007	1350479	40.2	15
reads/plate1-6.0/J328_S59_L002_R1.fastq.gz	21898	1644419	39.7	64
reads/plate1-6.0/J328_S59_L004_R1.fastq.gz	23540	1768366	39.7	16
reads/plate1-6.0/J327_S36_L004_R2.fastq.gz	16443	1234044	39.7	13
reads/plate1-6.0/J328_S59_L003_R1.fastq.gz	21673	1627513	39.7	22
reads/plate1-6.0/J327_S36_L001_R2.fastq.gz	17864	1339254	39.7	147
reads/plate1-6.0/J328_S59_L003_R2.fastq.gz	21673	1627625	39.7	24
reads/plate1-6.0/J328_S59_L002_R2.fastq.gz	21898	1644783	39.7	69
reads/plate1-6.0/J328_S59_L001_R1.fastq.gz	20153	1512870	39.7	74
reads/plate1-6.0/J328_S59_L001_R2.fastq.gz	20153	1513224	39.8	74
reads/plate1-6.0/J328_S59_L004_R2.fastq.gz	23540	1768755	39.7	65
reads/plate1-6.0/J330_S53_L002_R2.fastq.gz	22839	1713539	39.6	27
reads/plate1-6.0/J329_S21_L001_R1.fastq.gz	27017	2031256	39.5	32
reads/plate1-6.0/J329_S21_L002_R2.fastq.gz	30370	2282985	39.6	22
reads/plate1-6.0/J330_S53_L001_R2.fastq.gz	20388	1528804	39.6	32
reads/plate1-6.0/J329_S21_L002_R1.fastq.gz	30370	2282911	39.7	13
reads/plate1-6.0/J330_S53_L001_R1.fastq.gz	20388	1528610	39.6	38
reads/plate1-6.0/J330_S53_L002_R1.fastq.gz	22839	1713192	39.5	25
reads/plate1-6.0/J329_S21_L001_R2.fastq.gz	27017	2031126	39.5	35
reads/plate1-6.0/J329_S21_L003_R2.fastq.gz	29158	2192293	39.8	22
reads/plate1-6.0/J329_S21_L003_R1.fastq.gz	29158	2191924	39.7	28
reads/plate1-6.0/J330_S53_L003_R1.fastq.gz	22160	1661506	39.7	61
reads/plate1-6.0/J329_S21_L004_R2.fastq.gz	31802	2393027	39.6	25
reads/plate1-6.0/J329_S21_L004_R1.fastq.gz	31802	2392721	39.6	22
reads/plate1-6.0/J330_S53_L003_R2.fastq.gz	22160	1661603	39.8	141
reads/plate1-6.0/J330_S53_L004_R1.fastq.gz	24439	1834920	39.5	26
reads/plate1-6.0/J331_S92_L001_R1.fastq.gz	18233	1369185	39.5	65
reads/plate1-6.0/J333_S89_L002_R1.fastq.gz	11394	859480	38.4	4
reads/plate1-6.0/J331_S92_L002_R1.fastq.gz	19097	1435479	39.4	23
reads/plate1-6.0/J331_S92_L003_R1.fastq.gz	19095	1433032	39.6	40
reads/plate1-6.0/J330_S53_L004_R2.fastq.gz	24439	1835276	39.5	22
reads/plate1-6.0/J333_S89_L001_R2.fastq.gz	10579	796260	38.1	23
reads/plate1-6.0/J331_S92_L001_R2.fastq.gz	18233	1368408	39.4	108
reads/plate1-6.0/J331_S92_L002_R2.fastq.gz	19097	1434846	39.1	42
reads/plate1-6.0/J333_S89_L002_R2.fastq.gz	11394	858674	37.8	4
reads/plate1-6.0/J331_S92_L003_R2.fastq.gz	19095	1432921	39.4	50
reads/plate1-6.0/J333_S89_L003_R2.fastq.gz	7357	554337	38.0	3
reads/plate1-6.0/J333_S89_L001_R1.fastq.gz	10579	797134	38.5	14
