"library","run","run.lib","sample","seq.notes","Sequenced","Project1","Project2","Oxley"
"J405e","plate1-6.0","plate1-6.0~J405e","J405e",,"Y",,,
"J405f","plate1-6.0","plate1-6.0~J405f","J405f",,"Y",,,
"J405g","plate1-6.0","plate1-6.0~J405g","J405g",,"Y",,,
"J405h","plate1-6.0","plate1-6.0~J405h","J405h",,"Y",,,
"J405i","plate1-6.0","plate1-6.0~J405i","J405i",,"Y",,,
"J406","plate1-6.0","plate1-6.0~J406","J406",,"Y",,,
"J406a","plate1-6.0","plate1-6.0~J406a","J406a",,"Y",,,
"J406b","plate1-6.0","plate1-6.0~J406b","J406b",,"Y",,,
"J406c","plate1-6.0","plate1-6.0~J406c","J406c",,"Y",,,
"J406d","plate1-6.0","plate1-6.0~J406d","J406d",,"Y",,,
"J406e","plate1-6.0","plate1-6.0~J406e","J406e",,"Y",,,
"J406f","plate1-6.0","plate1-6.0~J406f","J406f",,"Y",,,
"J406g","plate1-6.0","plate1-6.0~J406g","J406g",,"Y",,,
"J406h","plate1-6.0","plate1-6.0~J406h","J406h",,"Y",,,
"J406i","plate1-6.0","plate1-6.0~J406i","J406i",,"Y",,,
"J407","plate1-6.0","plate1-6.0~J407","J407",,,,,"Y"
"J408","plate1-6.0","plate1-6.0~J408","J408",,,,,"Y"
"J411","plate1-6.0","plate1-6.0~J411","J411",,,,,"Y"
"J412","plate1-6.0","plate1-6.0~J412","J412",,,,,"Y"
"J413","plate1-6.0","plate1-6.0~J413","J413",,"Y",,,
"J413a","plate1-6.0","plate1-6.0~J413a","J413a",,"Y",,,
"J413c","plate1-6.0","plate1-6.0~J413c","J413c",,"Y",,,
"J413f","plate1-6.0","plate1-6.0~J413f","J413f",,"Y",,,
"J414","plate1-6.0","plate1-6.0~J414","J414",,"Y",,,
"J414a","plate1-6.0","plate1-6.0~J414a","J414a",,"Y",,,
"J414b","plate1-6.0","plate1-6.0~J414b","J414b",,"Y",,,
"J414c","plate1-6.0","plate1-6.0~J414c","J414c",,"Y",,,
"J416","plate1-6.0","plate1-6.0~J416","J416",,"Y",,,
"J416a","plate1-6.0","plate1-6.0~J416a","J416a",,"Y",,,
"J416b","plate1-6.0","plate1-6.0~J416b","J416b",,"Y",,,
"J416c","plate1-6.0","plate1-6.0~J416c","J416c",,"Y",,,
"J416d","plate1-6.0","plate1-6.0~J416d","J416d",,"Y",,,
"J416e","plate1-6.0","plate1-6.0~J416e","J416e",,"Y",,,
"J416f","plate1-6.0","plate1-6.0~J416f","J416f",,"Y",,,
"J416g","plate1-6.0","plate1-6.0~J416g","J416g",,"Y",,,
"J416h","plate1-6.0","plate1-6.0~J416h","J416h",,"Y",,,
"J416i","plate1-6.0","plate1-6.0~J416i","J416i",,"Y",,,
