"library","run","Include","seq.notes"
"J375-rep1","plate1-6.0","Y",
"J375-rep1","plate1-6.1","Y",
"J375-rep1","plate2","Y",
"J375-WGS","plate1.1","Y",
"J375-WGS","plate1.2","Y",
"J375rep1","plate1-6.2","Y",
"J376","plate1-6.0","Y",
"J376","plate1-6.1","Y",
"J376","plate1-6.2","Y",
"J376-NextRAD","plate1.1","Y",
"J376-WGS","plate1.1","Y",
"J376-WGS","plate1.2","Y",
"J376a","plate1-6.0","Y",
"J376a","plate1-6.1","Y",
"J376a","plate1-6.2","Y",
"J376a-rep","plate1-6.0","Y",
"J376a-rep","plate1-6.1","Y",
"J376arep","plate1-6.2","Y",
"J376b","plate1-6.0","Y",
"J376b","plate1-6.1","Y",
"J376b","plate1-6.2","Y",
"J376c","plate1-6.0","Y",
"J376c","plate1-6.1","Y",
"J376c","plate1-6.2","Y",
"J376d","plate1-6.0","Y",
"J376d","plate1-6.1","Y",
"J376d","plate1-6.2","Y",
"J376e","plate1-6.0","Y",
"J376e","plate1-6.1","Y",
"J376e","plate1-6.2","Y",
"J376f","plate1-6.0","Y",
"J376f","plate1-6.1","Y",
"J376f","plate1-6.2","Y",
"J376g","plate1-6.0","Y",
"J376g","plate1-6.1","Y",
"J376g","plate1-6.2","Y",
"J376h","plate1-6.0","Y",
"J376h","plate1-6.1","Y",
"J376h","plate1-6.2","Y",
"J376i","plate1-6.0","Y",
"J376i","plate1-6.1","Y",
"J376i","plate1-6.2","Y",
"J377","plate1-6.0","Y",
"J377","plate1-6.1","Y",
"J377","plate1-6.2","Y",
"J377a","plate1-6.0","Y",
"J377a","plate1-6.1","Y",
"J377a","plate1-6.2","Y",
"J377b","plate1-6.0","Y",
"J377b","plate1-6.1","Y",
"J377b","plate1-6.2","Y",
"J377c","plate1-6.0","Y",
"J377c","plate1-6.1","Y",
"J377c","plate1-6.2","Y",
"J377d","plate1-6.0","Y",
"J377d","plate1-6.1","Y",
"J377d","plate1-6.2","Y",
"J377e","plate1-6.0","Y",
"J377e","plate1-6.1","Y",
"J377e","plate1-6.2","Y",
"J377e-rep","plate1-6.0","Y",
"J377e-rep","plate1-6.1","Y",
"J377erep","plate1-6.2","Y",
