"","ID","SampleSet","Species","Location","Latitude","Longitude","SeedYesNo","SeedNotes","Sequenced"
"262","HillgroveTurnoff","TLC","sp. aff. magnificata","Stockton",-30.525972,151.9180333,"No","  ",""
"263","WP1459","TLC","sp. aff. magnificata","Stockton",-30.52672,151.91909,"No","  ",""
"264","WP1460","TLC","sp. aff. magnificata","Stockton",-30.52661,151.92042,"No","  ",""
"265","WP1461","TLC","sp. aff. magnificata","Stockton",-30.52681,151.92275,"No","  ",""
"266","WP1462","TLC","sp. aff. magnificata","Stockton",-30.52666,151.92062,"No","  ",""
"267","TLC970","TLC","sp. aff. magnificata","Stockton",-30.52625,151.9192,"Yes","cleaned box within box ",""
"268","TLC953A-F","TLC","sp. aff. magnificata","Terralto",-30.83146197,151.821772,"No","  ",""
"269","TLC963A-F","TLC","sp. aff. magnificata","Terralto",-30.83926,151.83008,"No","  ",""
"270","ENE0029","ENE","sp. aff. magnificata","Waterfall Way 2",-30.51712,151.97281,"No","",""
"271","ENE0030","ENE","sp. aff. magnificata","Waterfall Way 2",-30.51709,151.97293,"No","",""
"272","ENE0031","ENE","sp. aff. magnificata","Waterfall Way 2",-30.517,151.97298,"Yes","large quantity of seeds",""
"273","ENE0032","ENE","sp. aff. magnificata","Waterfall Way 2",-30.51712,151.97308,"Yes","reasonable amount of seeds",""
"274","ENE0033","ENE","sp. aff. magnificata","Waterfall Way 2",-30.51688,151.97357,"Yes","reasonable amount of seeds",""
"275","ENE0034","ENE","sp. aff. magnificata","Waterfall Way 2",-30.51691,151.9735,"Yes","very low amount of seeds",""
"276","TLC922","TLC","sp. aff. magnificata","Wollomombi",-30.56833701,152.04948,"No","  ",""
"277","TLC922","TLC","sp. aff. magnificata","Wollomombi",-30.56833701,152.04948,"No","  ",""
"278","TLC952-1","TLC","sp. aff. magnificata","Yarraford Rd",-29.62114801,151.783008,"No","  ",""
"279","TLC952-2","TLC","sp. aff. magnificata","Yarraford Rd",-29.62114801,151.783008,"No","  ",""
"280","TLC952-3","TLC","sp. aff. magnificata","Yarraford Rd",-29.62114801,151.783008,"No","  ",""
"281","TLC952-4","TLC","sp. aff. magnificata","Yarraford Rd",-29.62114801,151.783008,"No","  ",""
"282","TLC952-5","TLC","sp. aff. magnificata","Yarraford Rd",-29.62114801,151.783008,"No","  ",""
