"ID","Species.orig","Latitude","Longitude","Location","Species"
"J424","Eucalyptus albens",-31.71111,150.6998,"Ardglen","Eucalyptus albens"
"J425","Eucalyptus sideroxylon",-30.30756,151.20671,"Bundarra","Eucalyptus sideroxylon"
"J426","Eucalyptus albens",-30.30846,151.20667,"Bundarra","Eucalyptus albens"
"J427","Eucalyptus caleyi",-30.36709,151.25757,"Bundarra","Eucalyptus caleyi"
"J428","Eucalyptus albens",-29.6731,151.15315,"Inverell","Eucalyptus albens"
"J429","Eucalyptus albens",-28.77243,151.21523,"Texas","Eucalyptus albens"
"J430","Eucalyptus sideroxylon",-28.56925,151.07571,"Inglewood","Eucalyptus sideroxylon"
"J431","Eucalyptus crebra",-28.56955,151.07539,"Inglewood","Eucalyptus crebra"
"J432","Eucalyptus fibrosa",-28.18033,151.66934,"Glendon","Eucalyptus fibrosa"
"J433","Eucalyptus sideroxylon",-28.17577,151.6577,"Glendon","Eucalyptus sideroxylon"
"J434","Eucalyptus sideroxylon",-27.7547,152.1189,"Allora","Eucalyptus sideroxylon"
"J435","Eucalyptus sideroxylon",-26.36944,151.88103,"Wondai","Eucalyptus sideroxylon"
"J436","Eucalyptus albens (?)",-27.18896,151.73259,"Kulpi","Eucalyptus albens"
"NE10467","Eucalyptus porosa",NA,NA,"Lake  Eyre","Eucalyptus porosa"
"NE25953","Eucalyptus porosa",NA,NA,"Eyre Peninsula","Eucalyptus porosa"
"NE35959","Eucalyptus porosa",NA,NA,"Murray","Eucalyptus porosa"
"NE35955","Eucalyptus porosa",NA,NA,"Coonalpyn","Eucalyptus porosa"
"NE37169","Eucalyptus odorata",NA,NA,"Alligator Creek","Eucalyptus odorata"
"NE67754","Eucalyptus odorata",NA,NA,"Sandland Road","Eucalyptus odorata"
"NE36811","Eucalyptus odorata",NA,NA,"Hall Creek Road","Eucalyptus odorata"
"NE4583","Eucalpyptus woollsiana",NA,NA,"Gilgandra","Eucalyptus woollsiana"
"NE25923","Eucalpyptus woollsiana",NA,NA,"Maranoa","Eucalyptus woollsiana"
"NE37647","Eucalpyptus woollsiana",NA,NA,"Narrabri","Eucalyptus woollsiana"
"NE90535","Eucalpyptus woollsiana",NA,NA,"Inglewood","Eucalyptus woollsiana"
"J351 area - Recollect","Eucalyptus polyanthemos (juv micro?)",-35.25609,147.68506,"Tarcutta, Mates Gully Rd.","Eucalyptus polyanthemos"
"J350 - Recollect","Eucalyptus albens",-35.2456,147.68083,"Tarcutta, Mates Gully Rd.","Eucalyptus albens"
"J348 - Recollect","Eucalyptus polyanthemos",-35.24184,148.29729,"Wee Jasper, Wee Jasper Rd.","Eucalyptus polyanthemos"
"J342 - Recollect","Eucalyptus sideroxylon",-29.39087,151.39279,"Yellow Dam, Emmaville Rd","Eucalyptus sideroxylon"
