"sample","reads","bases","perc_gc","non_acgt","coverage","unique_kmers","kmersize"
"J387h",12198896,1804182817,40.8,9447,2.8190356515625,609268720,31
"J387e",12397352,1832787468,41.1,10432,2.86373041875,618871831,31
"J387d",14088092,2083869486,40.9,13087,3.256046071875,636024436,31
"J388a",11472572,1679384171,39.9,10169,2.6240377671875,542348283,31
"J387b",15426870,2275563222,40.8,11969,3.555567534375,634558530,31
"J387",19979486,2935897029,39.8,19927,4.5873391078125,740884601,31
"J388b",11739912,1727809339,40.8,9357,2.6997020921875,604299942,31
"J390b",4217454,615992851,39.1,3748,0.9624888296875,272843647,31
"J390a-rep",6526966,949684475,40.1,6826,1.4838819921875,364590211,31
"J393b",5055164,728347747,39.9,4992,1.1380433546875,298381351,31
"J392",6800264,1013519372,40.3,5564,1.58362401875,398607361,31
"J388h",9922184,1454120781,40.2,9195,2.2720637203125,497709052,31
"J390a",7416212,1083411284,40.3,7542,1.69283013125,402217847,31
"J388g",10436556,1544654145,40.9,10161,2.4135221015625,536172524,31
"J389",9658310,1423133309,39.8,9506,2.2236457953125,488417954,31
"J388e",12574722,1845285175,40.1,12370,2.8832580859375,593186414,31
"J388i",12120320,1791530400,41.4,10950,2.79926625,570064693,31
"J388f",14045696,2076337889,41.1,9229,3.2442779515625,602939705,31
"J393a",9688442,1411280046,40.3,9597,2.205125071875,478329242,31
"J390",13329948,1938854892,40.4,12653,3.02946076875,600667406,31
"J393c",11080122,1618596747,40.2,9355,2.5290574171875,524671217,31
"J394a",6471592,941966519,40.3,5570,1.4718226859375,357937456,31
"J385-rep",48972712,7216076425,40.9,35941,11.2751194140625,1200344362,31
"J393f",9921224,1467305366,41.3,9450,2.292664634375,516656263,31
"J393g",10556556,1523128883,39.8,12393,2.3798888796875,491661715,31
"J393d",12890182,1893250777,40.2,12386,2.9582043390625,589678411,31
"J393h",10224176,1524305950,40.9,6471,2.381728046875,625406103,31
"J394",10120258,1482150529,40.7,7612,2.3158602015625,487232279,31
"J393i",11462300,1685735549,40,9645,2.6339617953125,555701231,31
"J397",1570952,227367264,38.4,1534,0.35526135,108874276,31
"J394c",9411286,1394915252,40.4,7757,2.17955508125,523924142,31
"J394d",10486978,1534022645,40.3,9979,2.3969103828125,503091425,31
"J393e",14748246,2179538897,41.3,11799,3.4055295265625,640022892,31
"J393",22739744,3354716592,40.7,18389,5.241744675,784793963,31
"J394b",12632690,1858705170,40.2,12914,2.904226828125,567519799,31
"J394e",11252486,1640783371,40.1,8401,2.5637240171875,506423816,31
"J394f",11936442,1745037480,40.6,10351,2.7266210625,573716221,31
"J400",4262472,629382975,39.8,3583,0.9834108984375,275485848,31
"J399",5327572,791637695,39.8,5088,1.2369338984375,325531316,31
"J394g",13253910,1948762603,40.3,12376,3.0449415671875,603098137,31
"J398",8013880,1182954705,40.2,3752,1.8483667265625,432263235,31
"J395A",12513154,1833343616,40.6,10890,2.8645994,555103645,31
"J395B",12404452,1817512469,40.8,11698,2.8398632328125,564939581,31
"J395C",12196030,1785712357,40.6,11616,2.7901755578125,551164530,31
"J395E",11947210,1746874189,41.2,9934,2.7294909203125,548169980,31
"J395",14708058,2173222104,39.9,10101,3.3956595375,793887583,31
"J395H",11455418,1676616065,41,9905,2.6197126015625,526491284,31
"J395D",11884420,1736829107,40.6,10657,2.7137954796875,546855933,31
"J401",9403158,1397758330,41.1,8182,2.183997390625,471947522,31
"J403",3775210,559045653,40.3,4259,0.8735088328125,245732583,31
"J402",4336512,642422343,39,3637,1.0037849109375,281036613,31
"J401d",10989098,1625895602,40.7,6109,2.540461878125,531173772,31
"J404",6151892,914507214,40.3,4380,1.428917521875,361780603,31
"J405",7216506,1070979065,42,5932,1.6734047890625,382714840,31
"J401a",14732122,2182981340,41.3,9790,3.41090834375,647499027,31
"J401b",12889886,1908908763,41.1,7929,2.9826699421875,579667519,31
"J405c",8883442,1292634037,40.6,7979,2.0197406828125,450735335,31
"J401c",14856124,2202448770,41.2,10289,3.441326203125,645433964,31
"J401e",14534244,2153668767,41.2,12507,3.3651074484375,648731730,31
"J401g",13936044,2067797677,41.1,10381,3.2309338703125,631237743,31
"J401f",15468814,2293408230,41.2,8528,3.583450359375,650814596,31
"J405b",11116308,1648099436,41.3,10431,2.57515536875,565203053,31
"J401h",14995116,2222616594,40.8,10781,3.472838428125,648652920,31
"J406a",5270730,766840872,39.6,4890,1.1981888625,317061373,31
"J405g",7856396,1148725946,39.7,8328,1.794884290625,426058216,31
"J406e",4231798,617608958,40.7,4346,0.965013996875,270764599,31
"J405f",10717978,1590394710,41.1,9374,2.484991734375,542829151,31
"J406",7092212,1052618272,40.8,5179,1.64471605,421598041,31
"J405a",15302976,2264270543,41.2,13892,3.5379227234375,654907278,31
"J405d",16225984,2382184840,40.7,14366,3.7221638125,649873692,31
"J405e",15162966,2221110070,40.3,15451,3.470484484375,624949328,31
"J408",4451758,657582482,39.8,3859,1.027472628125,285042446,31
"J405i",12215594,1808144370,40.4,10639,2.825225578125,608048024,31
"J411",5986920,888109198,40.7,5176,1.387670621875,354841510,31
"J407",7483856,1111357550,40.9,6578,1.736496171875,445561521,31
"J405h",15416162,2263285737,40.8,14455,3.5363839640625,670083651,31
"J412",6251752,926973332,40.1,4670,1.44839583125,377020954,31
"J406d",12762080,1856370265,40.5,11510,2.9005785390625,563737611,31
"J406c",13006614,1911792613,40.7,11889,2.9871759578125,617724602,31
"J406b",13494430,1998020841,40.9,8361,3.1219075640625,723805512,31
"J413a",8161378,1193840777,40,7191,1.8653762140625,410035484,31
"J406f",16054230,2356276357,41,16614,3.6816818078125,652124653,31
"J416c",3304650,485837634,39.9,3088,0.759121303125,231400440,31
"J414a",7470398,1084625539,40.4,6336,1.6947274046875,380944942,31
"J406h",15552076,2277212972,40.8,14260,3.55814526875,677230466,31
"J406g",17574580,2576419069,40.9,16730,4.0256547953125,687367836,31
"J416b",5745060,839334426,40.2,5536,1.311460040625,341795440,31
"J406i",16242110,2377633867,40.4,14264,3.7150529171875,641295903,31
"J413c",12163838,1796523406,41.1,8358,2.807067821875,559602702,31
"J413",16720984,2457772590,40.2,14835,3.840269671875,636127889,31
"J413f",13837928,2036682416,41,12502,3.182316275,598441626,31
"J416",11667976,1721106185,40.3,12103,2.6892284140625,529378491,31
"J414b",13388350,1963178223,40.4,12504,3.0674659734375,602451900,31
"J416d",10709334,1598812158,41,5925,2.498143996875,638130169,31
"J417",6120720,910049579,40.9,3188,1.4219524671875,354023892,31
"J416a",13753018,2021096926,41.6,12225,3.157963946875,641000667,31
"J418a",7489036,1097576581,40.5,6839,1.7149634078125,447742903,31
"J414c",16879112,2460557732,40.8,15100,3.84462145625,726967781,31
"J416f",10552194,1563089385,41.2,10009,2.4423271640625,526961718,31
"J414",20126568,2940346263,40.6,18344,4.5942910359375,743326507,31
"J418e",7092842,1031257132,40.2,6790,1.61133926875,391070229,31
"J416e",12871398,1890870402,40.7,11060,2.954485003125,581498731,31
"J416g",12303934,1801992632,40.9,10753,2.8156134875,564273284,31
"J416h",12555474,1861439788,41.3,10041,2.90849966875,601842277,31
"J418h",5750296,839810799,40.5,5604,1.3122043734375,337218965,31
"J416i",12278724,1819507191,41.3,10547,2.8429799859375,572027848,31
"J418c",12970658,1921735298,41.1,9066,3.002711403125,532456564,31
"J418g",11564472,1712923548,41.3,9736,2.67644304375,550852616,31
"J419e",7011790,1027388202,39.9,7477,1.605294065625,369055556,31
