"sample","yield.mb","read.num","coverage"
"J419i",1870,6193408,2.921875
"J420",766,2534356,1.196875
"J421_S119",1201,3974962,1.8765625
"J421_S303",1922,6363648,3.003125
"J421b",2513,8322069,3.9265625
"J422",562,1863413,0.878125
"J422a",2083,6897105,3.2546875
"J422c",1665,5513874,2.6015625
"J422e",1710,5663332,2.671875
"J422e-rep",2062,6825568,3.221875
"J422f",1894,6271456,2.959375
"J422g",1698,5623845,2.653125
"J423",1354,4484606,2.115625
"J424_S358",2198,7276127,3.434375
"J424_S99",1168,3868716,1.825
"J424a",2221,7352468,3.4703125
"J424b",1178,3902565,1.840625
"J424c",2291,7585981,3.5796875
"J424d",1205,3990907,1.8828125
"J424e",2085,6902106,3.2578125
"J424f",1611,5334440,2.5171875
"J424g",1661,5499727,2.5953125
"J425",2154,7135416,3.365625
"J425a",1809,5992072,2.8265625
"J425b",2117,7008421,3.3078125
"J425c",2473,8188428,3.8640625
"J425d",1872,6201388,2.925
"J425e",3198,10589902,4.996875
"J425f",2471,8181479,3.8609375
"J425g",1546,5118721,2.415625
"J425h",1537,5091702,2.4015625
"J425i",2456,8132586,3.8375
"J426",1513,5009868,2.3640625
"J426a",1761,5832609,2.7515625
"J426b",1649,5459514,2.5765625
"J426c",1784,5907806,2.7875
"J426d",1188,3934249,1.85625
"J426f",1349,4466110,2.1078125
"J426g",1190,3942681,1.859375
"J426h",1669,5527716,2.6078125
"J426i",1705,5645248,2.6640625
"J427",815,2697326,1.2734375
"J427a",908,3008224,1.41875
"J428",1093,3617685,1.7078125
"J428a",1086,3593825,1.696875
"J428b",1804,5970817,2.81875
"J428c",1608,5323512,2.5125
"J428d",1417,4690564,2.2140625
"J428e",1429,4732726,2.2328125
"J428f",1098,3635808,1.715625
"J428g_S416",1697,5619489,2.6515625
"J428g_S473",1298,4295753,2.028125
"J428h",2112,6995482,3.3
"J428i",1689,5593077,2.6390625
"J429",1738,5754292,2.715625
"J429a_S408",1716,5682919,2.68125
"J429a_S465",1314,4350350,2.053125
"J429b",1249,4134261,1.9515625
"J429c",1223,4049482,1.9109375
"J429d",1552,5141159,2.425
"J429e",2097,6942237,3.2765625
"J429f",1140,3776661,1.78125
"J429g",1026,3395974,1.603125
"J429h",1451,4805874,2.2671875
"J429i",1198,3968103,1.871875
"J430",2171,7190506,3.3921875
"J430a",1634,5410061,2.553125
"J430a-rep",2007,6646587,3.1359375
"J430b",2318,7675024,3.621875
"J430c",2297,7604934,3.5890625
"J430d",1812,5999998,2.83125
"J430e",2273,7527824,3.5515625
"J430f",1227,4065244,1.9171875
"J430g",1947,6448754,3.0421875
"J430h_S424",2049,6783149,3.2015625
"J430h_S481",1583,5241709,2.4734375
"J430i",1676,5551103,2.61875
"J431",1200,3976279,1.875
"J432",983,3254145,1.5359375
"J433",1911,6326359,2.9859375
